,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
975125,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,9822,1387 VALENCIA ST,Synergy School,VALENCIA,SIDEWALK,2,4,,2011,3,37.750869,-122.420187,POINT (-122.42017 37.750866),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00015499999999946112
975250,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,12457,1398 VALENCIA ST,Women's Initiative for Self Employment,VALENCIA,SIDEWALK,1,2,,2011,3,37.750644,-122.420807,POINT (-122.42079 37.75064),53.0,3.0,5.0,20.0,176.0,,,53.0,0.0007219999999890092
976258,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,9782,1355 VALENCIA ST,Murphy Investments Property Management,VALENCIA,SIDEWALK,1,2,,2013,4,37.751287,-122.420222,POINT (-122.42021 37.75128),53.0,3.0,2.0,20.0,87.0,,,53.0,0.0005060000000085552
1000418,Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292.0,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779324, -122.418816)",37.779324,-122.418816,10193,1 DR CARLTON B GOODLETT PL,City Hall,POLK,SIDEWALK,2,4,,2002,0,37.778841,-122.419017,POINT (-122.41901 37.778835),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,0.0006839999999925794
1000974,Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292.0,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779324, -122.418816)",37.779324,-122.418816,10375,1 DR CARLTON B GOODLETT PL,City Hall,POLK,SIDEWALK,2,4,,2010,12,37.779319,-122.418804,POINT (-122.41879 37.779316),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,1.7000000013922545e-05
1001503,Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292.0,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779324, -122.418816)",37.779324,-122.418816,9220,1 DR CARLTON B GOODLETT PL,City Hall,POLK,SIDEWALK,2,4,,2003,0,37.778841,-122.419017,POINT (-122.41901 37.778835),21.0,4.0,10.0,36.0,132.0,8.0,1.0,21.0,0.0006839999999925794
1028786,Glide Family Youth And Childcare Center,Private,-2,-1,PK,Independent / Private,CDC045,3,4,CDC,384000531.0,"330 ELLIS ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.78529, -122.411697)",37.78529,-122.411697,9061,441 OFARRELL ST,Ever Gold Gallery,OFARRELL,SIDEWALK,1,2,,2011,11,37.785637,-122.411944,POINT (-122.411934 37.785633),20.0,5.0,10.0,36.0,20.0,6.0,1.0,20.0,0.0005939999999995393
1079229,Alt School - Fort Mason,Private,0,8,K-8,Independent / Private,IND204,5,13,IND,38684786146773.0,"3741 BUCHANAN ST, SAN FRANCISCO, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.804562, -122.433907)",37.804562,-122.433907,12442,3735 BUCHANAN ST,Starbucks,BUCHANAN,SIDEWALK,1,2,,2015,1,37.804471,-122.433832,POINT (-122.43382 37.804466),17.0,4.0,6.0,13.0,41.0,,,17.0,0.00016600000000721593
1110140,Miraloma Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC096,3,4,CDC,380505313.0,"443 FOERSTER ST, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.732193, -122.449142)",37.732193,-122.449142,11595,443 Foerster Street,Miraloma Nursery,FOERSTER,SIDEWALK,2,4,,2017,5,37.731882,-122.448954,POINT (-122.448944 37.731876),95.0,9.0,8.0,41.0,100.0,,,95.0,0.0004989999999978068
1113817,Jewish Community Center San Francisco - Helen Diller Family Preschool,Private,-2,-1,PK,Independent / Private,CDC057,3,4,CDC,384001263.0,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.787365, -122.44722)",37.787365,-122.44722,12469,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA,SIDEWALK,5,10,,2004,0,37.787481,-122.447372,POINT (-122.44736 37.787476),10.0,8.0,6.0,31.0,80.0,,,10.0,0.00026799999999838064
